ISO_CODE,IATA_CODE
020,AD
784,AE
004,AF
028,AG
660,AI
008,AL
051,AM
530,AN
024,AO
010,AQ
032,AR
016,AS
040,AT
036,AU
533,AW
031,AZ
070,BA
052,BB
050,BD
056,BE
854,BF
100,BG
048,BH
108,BI
204,BJ
060,BM
096,BN
068,BO
076,BR
044,BS
064,BT
072,BW
112,BY
084,BZ
124,CA
166,CC
180,CD
140,CF
178,CG
756,CH
384,CI
184,CK
152,CL
120,CM
156,CN
170,CO
188,CR
891,CS
192,CU
132,CV
162,CX
196,CY
203,CZ
276,DE
262,DJ
208,DK
212,DM
214,DO
012,DZ
218,EC
233,EE
818,EG
732,EH
232,ER
724,ES
231,ET
246,FI
242,FJ
238,FK
583,FM
234,FO
250,FR
266,GA
826,GB
308,GD
268,GE
254,GF
288,GH
292,GI
304,GL
270,GM
324,GN
312,GP
226,GQ
300,GR
320,GT
316,GU
624,GW
328,GY
344,HK
340,HN
191,HR
332,HT
348,HU
360,ID
372,IE
376,IL
356,IN
368,IQ
364,IR
352,IS
380,IT
388,JM
400,JO
392,JP
404,KE
417,KG
116,KH
296,KI
174,KM
659,KN
408,KP
410,KR
414,KW
136,KY
398,KZ
418,LA
422,LB
662,LC
438,LI
144,LK
430,LR
426,LS
440,LT
442,LU
428,LV
434,LY
504,MA
492,MC
498,MD
499,ME
450,MG
584,MH
807,MK
466,ML
104,MM
496,MN
446,MO
580,MP
474,MQ
478,MR
500,MS
470,MT
480,MU
462,MV
454,MW
484,MX
458,MY
508,MZ
516,NA
540,NC
562,NE
574,NF
566,NG
558,NI
528,NL
578,NO
524,NP
520,NR
570,NU
554,NZ
512,OM
591,PA
604,PE
258,PF
598,PG
608,PH
586,PK
616,PL
666,PM
630,PR
275,PS
620,PT
585,PW
600,PY
634,QA
900,QZ
638,RE
642,RO
688,RS
643,RU
646,RW
682,SA
090,SB
690,SC
736,SD
752,SE
702,SG
654,SH
705,SI
703,SK
694,SL
674,SM
686,SN
706,SO
740,SR
678,ST
222,SV
760,SY
748,SZ
796,TC
148,TD
768,TG
764,TH
762,TJ
772,TK
795,TM
788,TN
776,TO
626,TP
792,TR
780,TT
798,TV
158,TW
834,TZ
804,UA
800,UG
581,UM
840,US
858,UY
860,UZ
336,VA
670,VC
862,VE
092,VG
850,VI
704,VN
548,VU
876,WF
882,WS
887,YE
175,YT
710,ZA
894,ZM
716,ZW
