ISO_CODE,ISO_DEC_POS,IATA_CODE
004,2,AFN
008,2,ALL
012,2,DZD
032,2,ARS
036,2,AUD
044,2,BSD
048,3,BHD
050,2,BDT
051,2,AMD
052,2,BBD
060,2,BMD
068,2,BOB
072,2,BWP
084,2,BZD
090,2,SBD
096,2,BND
104,2,MMK
108,0,BIF
116,2,KHR
124,2,CAD
132,2,CVE
136,2,KYD
144,2,LKR
152,0,CLP
156,2,CNY
170,2,COP
174,0,KMF
188,2,CRC
191,2,HRK
192,2,CUP
196,2,CYP
203,2,CZK
208,2,DKK
214,2,DOP
222,2,SVC
230,2,ETB
232,2,ERN
233,2,EEK
238,2,FKP
242,2,FJD
262,0,DJF
270,2,GMD
288,2,GHC
292,2,GIP
320,2,GTQ
324,0,GNF
328,2,GYD
332,2,HTG
340,2,HNL
344,2,HKD
348,2,HUF
352,2,ISK
356,2,INR
360,2,IDR
364,2,IRR
376,2,ILS
388,2,JMD
392,0,JPY
398,2,KZT
400,3,JOD
404,2,KES
408,2,KPW
410,0,KRW
414,3,KWD
417,2,KGS
418,2,LAK
422,2,LBP
426,2,LSL
428,2,LVL
430,2,LRD
434,3,LYD
440,2,LTL
446,2,MOP
450,0,MGF
454,2,MWK
458,2,MYR
462,2,MVR
470,2,MTL
478,2,MRO
480,2,MUR
484,2,MXN
496,2,MNT
498,2,MDL
504,2,MAD
512,3,OMR
516,2,NAD
524,2,NPR
532,2,ANG
533,2,AWG
548,2,VUV
554,2,NZD
558,2,NIO
566,2,NGN
578,2,NOK
586,2,PKR
590,2,PAB
598,2,PGK
600,0,PYG
604,2,PEN
608,2,PHP
634,2,QAR
643,2,RUB
646,0,RWF
678,2,STD
682,2,SAR
690,2,SCR
694,2,SLL
702,2,SGD
703,2,SKK
704,2,VND
705,2,SIT
706,2,SOS
710,2,ZAR
716,2,ZWD
736,2,SDD
748,2,SZL
752,2,SEK
756,2,CHF
760,2,SYP
764,2,THB
776,2,TOP
780,2,TTD
784,2,AED
788,3,TND
795,2,TMM
800,2,UGX
807,2,MKD
818,2,EGP
826,2,GBP
834,2,TZS
840,2,USD
858,2,UYU
860,2,UZS
862,2,VEB
882,2,WST
886,2,YER
894,2,ZMK
901,2,TWD
943,2,MZN
944,2,AZN
946,2,RON
949,2,TRY
950,0,XAF
951,2,XCD
952,0,XOF
953,0,XPF
968,2,SRD
969,2,MGA
974,0,BYR
975,2,BGN
976,2,CDF
977,2,BAM
978,2,EUR
980,2,UAH
981,2,GEL
985,2,PLN
986,2,BRL
